Unnamed: 0,question,answer
10,1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to common stockholders take precedence.,": C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares, making option C the correct choice. Options A and B are incorrect as they provide inaccurate information about equity securities."
11,2. Question: What is the role of private equity securities in the financial system?  Options: A. Private equity securities are primarily traded in secondary equity markets. B. Private equity securities are issued to individual investors in public offerings. C. Private equity securities are issued primarily to institutional investors in private placements. D. Private equity securities are not subject to any regulations.,": C. Private equity securities are issued primarily to institutional investors in private placements.  Explanation: Private equity securities are indeed issued primarily to institutional investors in private placements. These securities are not traded in secondary equity markets and are typically not available to individual investors through public offerings. Private placements involve the sale of securities directly to a small number of institutional investors, making option C the correct choice. Options A, B, and D are incorrect as they provide inaccurate information about private equity securities."
12,3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of different target markets. B. To guarantee a fixed return to investors. C. To eliminate all risks associated with investing. D. To provide insider information to select investors.,": A. To measure the values of different target markets.  Explanation: The purpose of security market indexes is indeed to measure the values of different target markets, such as security markets, market segments, or asset classes. These indexes serve as benchmarks for portfolios, proxies for measuring risk and performance, and model portfolios for investment products. Option A accurately describes the primary function of security market indexes, making it the correct choice. Options B, C, and D are incorrect as they do not reflect the true purpose of security market indexes."
13,4. Question: Which statement accurately describes the construction of security market indexes?  Options: A. Price return indexes reflect only the prices of the constituent securities. B. Total return indexes do not include the reinvestment of income received. C. Index weighting methods do not impact index valuation and returns. D. Index management does not involve periodic rebalancing.,": A. Price return indexes reflect only the prices of the constituent securities.  Explanation: Price return indexes do indeed reflect only the prices of the constituent securities, without considering the reinvestment of income received. This means that price return indexes only capture the price movements of the securities included in the index. Option A accurately describes the construction of price return indexes, making it the correct choice. Options B, C, and D are incorrect as they provide inaccurate information about security market indexes."
14,5. Question: What is the primary function of financial intermediaries in the financial system?  Options: A. To create instruments that are highly risky. B. To increase transaction costs for traders. C. To connect buyers to sellers in the market. D. To prevent strangers from contracting with each other.,": C. To connect buyers to sellers in the market.  Explanation: The primary function of financial intermediaries is indeed to connect buyers to sellers in the market. These intermediaries facilitate trading by bringing together individuals who want to buy and sell financial instruments. By acting as brokers, dealers, and arbitrageurs, financial intermediaries play a crucial role in ensuring liquidity and efficiency in financial markets. Option C accurately describes the role of financial intermediaries, making it the correct choice. Options A, B, and D are incorrect as they do not reflect the primary function of financial intermediaries."
15,1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.,": C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings and assets compared to common stockholders. This characteristic makes preference shares less risky than common shares. On the other hand, common shares represent an ownership interest in a company and give investors a claim on its operating performance, the opportunity to participate in the corporate decision-making process, and a claim on the company’s net assets in the case of liquidation. Private equity securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets, not to individual investors in public offerings."
16,2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries create instruments through securitization and manage investment funds. B. Financial intermediaries only allow buyers to connect with sellers directly. C. Financial intermediaries do not help in reducing credit risk in financial transactions. D. Financial intermediaries do not provide liquidity in financial markets.,": A. Financial intermediaries create instruments through securitization and manage investment funds.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through securitization, managing investment funds, and connecting buyers to sellers. They also help in reducing credit risk in financial transactions by providing guarantees and managing creditworthiness. Additionally, financial intermediaries provide liquidity in financial markets by acting as brokers, dealers, and arbitrageurs, facilitating trading activities and ensuring smooth market operations."
17,3. Question: What is the purpose of security market indexes?  Options: A. Security market indexes are intended to measure the values of different target markets. B. Security market indexes do not serve as benchmarks for actively managed portfolios. C. Security market indexes do not reflect the reinvestment of all income received since the inception of the index. D. Security market indexes are not used as proxies for measuring systematic risk.,": A. Security market indexes are intended to measure the values of different target markets.  Explanation: The primary purpose of security market indexes is to measure the values of different target markets, including security markets, market segments, or asset classes. These indexes are designed to represent the performance of specific markets or segments by including constituent securities that reflect the target market. Additionally, security market indexes serve as benchmarks for actively managed portfolios, reflect the reinvestment of all income received since the inception of the index in total return indexes, and are commonly used as proxies for measuring systematic risk in investment analysis."
18,"4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects the reinvestment of all income received since the inception of the index, while total return index only reflects the prices of the constituent securities. B. Price return index reflects only the prices of the constituent securities, while total return index reflects the prices and reinvestment of all income received since the inception of the index. C. Price return index includes dividends and interest income, while total return index only reflects the prices of the constituent securities. D. Price return index does not consider any income received from the constituent securities, while total return index includes all income received since the inception of the index.",": B. Price return index reflects only the prices of the constituent securities, while total return index reflects the prices and reinvestment of all income received since the inception of the index.  Explanation: A price return index only reflects the price movements of the constituent securities without considering any income received, while a total return index not only reflects the prices of the securities but also includes the reinvestment of all income received since the inception of the index. Total return indexes provide a more comprehensive measure of the performance of the index by accounting for the impact of dividends, interest income, and other distributions on the total return to investors."
19,5. Question: What is the significance of well-functioning financial systems in promoting wealth in economies?  Options: A. Well-functioning financial systems do not lead to wealthy economies. B. Well-functioning financial systems allow people to trade instruments with high transaction costs. C. Well-functioning financial systems do not ensure that capital allocation decisions are well made. D. Well-functioning financial systems allow people to share risks associated with valuable products and make capital allocation decisions effectively.,": D. Well-functioning financial systems allow people to share risks associated with valuable products and make capital allocation decisions effectively.  Explanation: Well-functioning financial systems play a crucial role in promoting wealth in economies by allowing individuals and businesses to share risks associated with valuable products through various financial instruments. Additionally, these systems enable effective capital allocation decisions by providing mechanisms for raising capital, investing in productive projects, and managing risks. By facilitating efficient trading, reducing transaction costs, and ensuring fair and orderly markets, well-functioning financial systems contribute to economic growth, wealth creation, and overall prosperity in societies."
20,1. Question: Which of the following statements is true regarding preference shares?  Options: A. Cumulative preference shares have no provisions for dividend payments. B. Non-cumulative preference shares allow for dividend payments to be accrued. C. Participating preference shares do not allow investors to receive corporate profits. D. Callable preference shares provide investors with the same rights as common share counterparts.,": B. Non-cumulative preference shares allow for dividend payments to be accrued.  Explanation: Non-cumulative preference shares have no provisions for dividend payments, meaning that the dividend payments are at the company's discretion and are similar to payments made to common shareholders. On the other hand, cumulative preference shares are preference shares on which dividend payments are accrued so that any payments omitted by the company must be paid before another dividend can be paid to common shareholders. Therefore, option B is the correct answer as it accurately describes the characteristics of non-cumulative preference shares."
21,2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries allow buyers to connect with sellers directly. B. Financial intermediaries create instruments through securitization. C. Financial intermediaries do not help in managing investment funds. D. Financial intermediaries do not transform cash flows and risks.,": B. Financial intermediaries create instruments through securitization.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through activities such as securitization. They transform cash flows and risks from one form to another, manage investment funds, and connect buyers to sellers indirectly. Therefore, option B is the correct answer as it accurately describes one of the key roles of financial intermediaries."
22,3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of individual securities. B. To represent only the prices of constituent securities. C. To serve as benchmarks for actively managed portfolios. D. To reinvest all income received since the inception of the index.,": C. To serve as benchmarks for actively managed portfolios.  Explanation: Security market indexes serve various purposes, including acting as benchmarks for actively managed portfolios. They gauge market sentiment, measure systematic risk, and serve as proxies for asset classes in asset allocation models. Therefore, option C is the correct answer as it accurately describes one of the key purposes of security market indexes."
23,4. Question: What is the difference between price return index and total return index?  Options: A. Price return index includes reinvestment of all income received. B. Total return index reflects only the prices of constituent securities. C. Price return index reflects not only the prices but also reinvestment of income. D. Total return index reflects only the prices of the constituent securities.,": C. Price return index reflects not only the prices but also reinvestment of income.  Explanation: A price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices but also the reinvestment of all income received since the inception of the index. Therefore, option C is the correct answer as it accurately describes the difference between price return index and total return index."
24,5. Question: What is the impact of well-functioning financial systems on economies?  Options: A. Well-functioning financial systems lead to lower transaction costs. B. Well-functioning financial systems do not promote wealth creation. C. Well-functioning financial systems allow for inefficient capital allocation. D. Well-functioning financial systems lead to wealthy economies.,": D. Well-functioning financial systems lead to wealthy economies.  Explanation: Well-functioning financial systems lead to wealthy economies by ensuring that capital allocation decisions are well made and allowing people to share risks associated with valuable products. They promote wealth creation by providing low transaction costs and facilitating efficient capital allocation. Therefore, option D is the correct answer as it accurately describes the impact of well-functioning financial systems on economies."
25,1. Question: Which of the following statements about equity securities is true?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.,": C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings and assets compared to common stockholders. This characteristic makes preference shares less risky than common shares. On the other hand, common shares represent an ownership interest in a company and give investors a claim on its operating performance, the opportunity to participate in the corporate decision-making process, and a claim on the company’s net assets in the case of liquidation. Private equity securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets, not to individual investors in public offerings."
26,2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries create instruments through securitization. B. Financial intermediaries only act as brokers in connecting buyers to sellers. C. Financial intermediaries do not help in managing investment funds. D. Financial intermediaries do not transform cash flows and risks from one form to another.,": A. Financial intermediaries create instruments through securitization.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through activities such as securitization. They also borrow to lend, manage investment funds, and pool insurance contracts. These activities help in transforming cash flows and risks from one form to another, allowing buyers and sellers to connect with each other through instruments that meet their specific needs. Additionally, financial intermediaries act as brokers and dealers, connecting buyers to sellers in various financial markets. Therefore, option A is the correct answer as it accurately describes the role of financial intermediaries in the financial system."
27,3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of different target markets. B. To represent only the prices of the constituent securities. C. To ensure that the index maintains appropriate weightings. D. To create turnover in an index.,": A. To measure the values of different target markets.  Explanation: The purpose of security market indexes is to measure the values of different target markets, which can include security markets, market segments, or asset classes. These indexes are intended to provide a benchmark for investors to gauge market sentiment, measure systematic risk, and serve as proxies for asset classes in asset allocation models. Therefore, option A is the correct answer as it accurately describes the purpose of security market indexes."
28,4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects the reinvestment of all income received since the inception of the index. B. Total return index reflects only the prices of the constituent securities. C. Price return index reflects only the prices of the constituent securities. D. Total return index does not include the reinvestment of income received since the inception of the index.,": C. Price return index reflects only the prices of the constituent securities.  Explanation: A price return index reflects only the prices of the constituent securities, without considering the reinvestment of any income received since the inception of the index. On the other hand, a total return index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index. Therefore, option C is the correct answer as it accurately describes the difference between price return index and total return index."
29,5. Question: What is the main purpose of well-functioning financial systems?  Options: A. To increase transaction costs for traders. B. To promote wealth by ensuring poor capital allocation decisions. C. To allow people to trade instruments with high transaction costs. D. To allow people to trade instruments that best solve their wealth and risk management problems with low transaction costs.,": D. To allow people to trade instruments that best solve their wealth and risk management problems with low transaction costs.  Explanation: The main purpose of well-functioning financial systems is to allow people to trade instruments that best solve their wealth and risk management problems with low transaction costs. A well-functioning financial system promotes wealth by ensuring that capital allocation decisions are well made and by allowing people to share risks associated with valuable products. Therefore, option D is the correct answer as it accurately describes the main purpose of well-functioning financial systems."
30,1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered lower average real annual returns compared to government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to common stockholders take precedence. D. Private equity securities are primarily traded in secondary equity markets.,": C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This statement accurately describes the characteristics of preference shares. On the other hand, options A, B, and D are incorrect as they do not accurately describe the features of equity securities."
31,2. Question: What is the role of private equity securities in long-term value creation?  Options: A. Private equity securities are primarily traded in secondary equity markets. B. The objective of private equity investing is to focus on short-term profits. C. Private equity securities are issued to individual investors in public placements. D. Private equity investing aims to increase the ability of a company's management to focus on its operating activities for long-term value creation.,": D. Private equity investing aims to increase the ability of a company's management to focus on its operating activities for long-term value creation.  Explanation: The objective of private equity investing is to increase the ability of a company's management to focus on its operating activities for long-term value creation. Private equity investments are not primarily focused on short-term profits but rather on enhancing the long-term value of the company. This statement accurately describes the role of private equity securities. Options A, B, and C are incorrect as they do not accurately reflect the purpose of private equity investing."
32,3. Question: What is the purpose of security market indexes?  Options: A. Security market indexes are intended to measure the values of individual securities. B. Security market indexes are used to predict short-term market movements. C. Security market indexes serve as benchmarks for actively managed portfolios. D. Security market indexes are only relevant for fixed-income investments.,": C. Security market indexes serve as benchmarks for actively managed portfolios.  Explanation: Security market indexes serve as benchmarks for actively managed portfolios. They provide a reference point against which the performance of actively managed portfolios can be compared. This statement accurately describes one of the key purposes of security market indexes. Options A, B, and D are incorrect as they do not accurately reflect the role of security market indexes in the investment landscape."
33,"4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects only the prices of constituent securities, while total return index includes reinvestment of all income. B. Price return index includes reinvestment of all income, while total return index reflects only the prices of constituent securities. C. Price return index and total return index are terms used interchangeably. D. Price return index and total return index do not differ in their calculation methods.",": A. Price return index reflects only the prices of constituent securities, while total return index includes reinvestment of all income.  Explanation: A price return index reflects only the prices of the constituent securities, while a total return index includes the reinvestment of all income received since the inception of the index. This statement accurately describes the difference between the two types of indexes. Options B, C, and D are incorrect as they do not accurately differentiate between price return and total return indexes."
34,5. Question: How do financial intermediaries contribute to the functioning of financial markets?  Options: A. Financial intermediaries do not play a role in connecting buyers and sellers in financial markets. B. Financial intermediaries create instruments through securitization and arbitrage. C. Financial intermediaries increase transaction costs in financial markets. D. Financial intermediaries do not provide any value in the financial system.,": B. Financial intermediaries create instruments through securitization and arbitrage.  Explanation: Financial intermediaries contribute to the functioning of financial markets by creating instruments through activities such as securitization and arbitrage. These activities help transform cash flows and risks from one form to another, allowing buyers and sellers to connect with each other through instruments that meet their specific needs. This statement accurately describes the role of financial intermediaries. Options A, C, and D are incorrect as they do not accurately reflect the contributions of financial intermediaries in the financial system."
35,1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered lower real annual returns compared to government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to common stockholders take precedence. D. Private equity securities are primarily traded in secondary equity markets.,": C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares, where common shareholders have a residual claim on the company's earnings after all other obligations have been met. Therefore, option C is the correct statement about equity securities. Options A, B, and D are incorrect as they do not accurately describe the characteristics of equity securities."
36,2. Question: What is the role of private equity securities in long-term value creation?  Options: A. Private equity securities are primarily issued to individual investors in public offerings. B. The objective of private equity investing is to focus on short-term profits. C. Private equity securities are issued to institutional investors in private placements to increase the company's ability to focus on its operating activities for long-term value creation. D. Private equity securities are traded in secondary equity markets to provide liquidity to investors.,": C. Private equity securities are issued to institutional investors in private placements to increase the company's ability to focus on its operating activities for long-term value creation.  Explanation: Private equity securities are issued primarily to institutional investors in private placements to increase the company's ability to focus on its operating activities for long-term value creation. The objective of private equity investing is not focused on short-term profits but rather on creating long-term value for the company. By providing capital and strategic guidance, private equity investors aim to enhance the company's operations and profitability over an extended period. Therefore, option C accurately describes the role of private equity securities in long-term value creation. Options A, B, and D are incorrect as they do not reflect the purpose and characteristics of private equity securities."
37,3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of individual securities in the market. B. To provide a benchmark for actively managed portfolios. C. To replace the need for fundamental analysis in investment decisions. D. To guarantee a fixed rate of return for investors.,": B. To provide a benchmark for actively managed portfolios.  Explanation: Security market indexes serve as benchmarks for actively managed portfolios, allowing investors to compare the performance of their investments against a specific index representing a target market. By tracking the performance of an index, investors can assess the effectiveness of their investment strategies and evaluate the success of their portfolio managers. Therefore, option B accurately describes the purpose of security market indexes. Options A, C, and D are incorrect as they do not reflect the primary function of security market indexes."
38,4. Question: What distinguishes a total return index from a price return index?  Options: A. A total return index reflects only the prices of constituent securities. B. A total return index does not include the reinvestment of income received. C. A price return index reflects the reinvestment of all income received. D. A total return index reflects both the prices of constituent securities and the reinvestment of all income received.,": D. A total return index reflects both the prices of constituent securities and the reinvestment of all income received.  Explanation: A total return index reflects both the prices of constituent securities and the reinvestment of all income received since the inception of the index. This means that a total return index accounts for both capital appreciation (price changes) and income generated by the securities in the index. By reinvesting all income received, the total return index provides a more comprehensive measure of the overall performance of the index compared to a price return index, which only reflects price changes. Therefore, option D accurately distinguishes a total return index from a price return index. Options A, B, and C are incorrect as they do not accurately describe the differences between the two types of indexes."
39,5. Question: How do financial intermediaries contribute to the functioning of financial markets?  Options: A. Financial intermediaries create instruments through securitization to increase market transparency. B. Financial intermediaries connect buyers to sellers by acting as brokers and exchanges. C. Financial intermediaries primarily engage in proprietary trading to generate profits. D. Financial intermediaries do not play a significant role in facilitating transactions in financial markets.,": B. Financial intermediaries connect buyers to sellers by acting as brokers and exchanges.  Explanation: Financial intermediaries play a crucial role in facilitating transactions in financial markets by connecting buyers to sellers through various mechanisms. They act as brokers and exchanges, matching the needs of buyers and sellers in the market. By providing liquidity and market-making services, financial intermediaries ensure that trading can occur efficiently and effectively. Therefore, option B accurately describes how financial intermediaries contribute to the functioning of financial markets. Options A, C, and D are incorrect as they do not capture the essential role of financial intermediaries in facilitating transactions."
40,1. Question: Which of the following statements about preference shares is correct?  Options: A. Cumulative preference shares have no provisions for dividend payments. B. Non-cumulative preference shares allow for dividend payments to be accrued. C. Participating preference shares do not allow investors to receive corporate profits. D. Callable preference shares do not provide issuers with the right to buy back shares.,": B. Non-cumulative preference shares allow for dividend payments to be accrued.  Explanation: Non-cumulative preference shares do not have provisions for dividend payments to be accrued, meaning that the dividend payments are at the company's discretion. This makes them similar to payments made to common shareholders. Cumulative preference shares, on the other hand, have provisions for dividend payments to be accrued so that any payments omitted by the company must be paid before another dividend can be paid to common shareholders. Therefore, option B is the correct choice."
41,2. Question: What is the minimum rate of return that stockholders require the company to pay them for investing in its equity called?  Options: A. Accounting return on equity B. Cost of equity C. Intrinsic value D. Required rate of return,": B. Cost of equity  Explanation: The cost of equity is the minimum rate of return that stockholders require the company to pay them for investing in its equity. It represents the return that investors expect to receive for bearing the risk of owning the company's equity. The accounting return on equity is the total return that the company earns on shareholders' book equity, not the minimum rate of return required by stockholders. Intrinsic value is the calculated value of a company's equity, and the required rate of return is the rate of return required by investors to compensate them for the risk of investing in a particular security. Therefore, option B is the correct choice."
42,3. Question: Which type of private equity investment is primarily focused on increasing the ability of a company's management to focus on its operating activities for long-term value creation?  Options: A. Venture capital B. Leveraged buyouts C. Private investments in public equity (PIPE) D. Callable common shares,": A. Venture capital  Explanation: Venture capital is a type of private equity investment that is primarily focused on increasing the ability of a company's management to focus on its operating activities for long-term value creation. Venture capital firms provide funding to startups and small businesses that have the potential for high growth. Leveraged buyouts involve acquiring a company using a significant amount of borrowed money to meet the cost of acquisition. Private investments in public equity (PIPE) involve investing in publicly traded companies through private placements. Callable common shares give the issuer the right to buy back the shares from shareholders at a predetermined price. Therefore, option A is the correct choice."
43,4. Question: Which type of securities trade like ordinary shares on a local exchange but represent an economic interest in a foreign company?  Options: A. American depository receipts B. Global depository receipts C. Cumulative preference shares D. Callable common shares,": A. American depository receipts  Explanation: American depository receipts (ADRs) are US dollar-denominated securities that trade like standard US securities on US markets but represent an economic interest in a foreign company. ADRs allow investors to invest in foreign companies without having to trade on foreign exchanges. Global depository receipts (GDRs) are similar to ADRs but contain certain restrictions in terms of their ability to be resold among investors. Cumulative preference shares have provisions for dividend payments to be accrued, and callable common shares give the issuer the right to buy back the shares from shareholders at a predetermined price. Therefore, option A is the correct choice."
