|question|answer
10|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily traded in secondary equity markets.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares, where common shareholders have a residual claim on the company's earnings after all other obligations have been met. Therefore, option C is the correct statement about equity securities. Option A is incorrect because equity securities have historically offered average real annual returns superior to government bills and bonds. Option B is incorrect because common shares do give investors a claim on a company's operating performance. Option D is incorrect because private equity securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets.
11|2. Question: What is the purpose of security market indexes?  Options: A. To measure the values of different target markets. B. To provide guaranteed returns to investors. C. To eliminate the need for diversification in investment portfolios. D. To ensure that all investors receive the same returns.|: A. To measure the values of different target markets.  Explanation: The purpose of security market indexes is to measure the values of different target markets, including security markets, market segments, and asset classes. Security market indexes are intended to represent the performance of a specific market or segment by tracking the prices of constituent securities. They serve as benchmarks for investors to gauge market sentiment, measure systematic risk, and act as proxies for asset classes in asset allocation models. Therefore, option A is the correct purpose of security market indexes. Option B is incorrect because security market indexes do not provide guaranteed returns to investors. Option C is incorrect because diversification is still important in investment portfolios, regardless of the use of indexes. Option D is incorrect because returns on investments can vary based on market conditions and individual investment choices.
12|3. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects only the prices of the constituent securities, while total return index reflects the reinvestment of all income received. B. Price return index reflects the reinvestment of all income received, while total return index reflects only the prices of the constituent securities. C. Price return index includes dividends, while total return index does not include dividends. D. Price return index includes interest payments, while total return index does not include interest payments.|: A. Price return index reflects only the prices of the constituent securities, while total return index reflects the reinvestment of all income received.  Explanation: A price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index. This means that a total return index provides a more comprehensive measure of the performance of the index by including the impact of reinvested income. Therefore, option A is the correct difference between price return index and total return index. Option B is incorrect because it misstates the difference between the two types of indexes. Option C is incorrect because price return index does not include dividends, while total return index does. Option D is incorrect because interest payments are not typically included in equity security indexes.
13|4. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries create instruments through securitization and borrowing to lend. B. Financial intermediaries do not connect buyers to sellers in the financial markets. C. Financial intermediaries do not help manage investment funds or pool insurance contracts. D. Financial intermediaries do not transform cash flows and risks from one form to another.|: A. Financial intermediaries create instruments through securitization and borrowing to lend.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through activities such as securitization, borrowing to lend, managing investment funds, and pooling insurance contracts. These activities allow financial intermediaries to connect buyers to sellers in the financial markets, manage risks, and provide liquidity to market participants. Therefore, option A correctly describes the role of financial intermediaries in the financial system. Option B is incorrect because financial intermediaries do connect buyers to sellers. Option C is incorrect because financial intermediaries do help manage investment funds and pool insurance contracts. Option D is incorrect because financial intermediaries do transform cash flows and risks from one form to another.
14|5. Question: Why are well-functioning secondary markets essential to raising capital in primary markets?  Options: A. Well-functioning secondary markets reduce the need for diversification in investment portfolios. B. Investors value the ability to sell their securities in liquid markets. C. Secondary markets have higher transaction costs compared to primary markets. D. Secondary markets do not provide liquidity to investors.|: B. Investors value the ability to sell their securities in liquid markets.  Explanation: Well-functioning secondary markets are essential to raising capital in primary markets because investors value the ability to sell their securities in liquid markets. If investors cannot easily trade their securities in secondary markets, they may be less willing to invest in primary markets, leading to reduced capital raising opportunities. Therefore, option B correctly explains the importance of well-functioning secondary markets in the capital-raising process. Option A is incorrect because diversification is still important in investment portfolios, regardless of secondary market functioning. Option C is incorrect because secondary markets typically have lower transaction costs compared to primary markets. Option D is incorrect because secondary markets do provide liquidity to investors, which is important for capital raising.
15|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to common stockholders take precedence.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares, making option C the correct choice. Options A and B are incorrect as they do not accurately describe equity securities.
16|2. Question: What is the role of private equity securities in the financial system?  Options: A. Private equity securities are primarily issued to individual investors in public offerings. B. Private equity securities are traded on secondary equity markets. C. Private equity securities are issued primarily to institutional investors in private placements. D. Private equity securities are not subject to any regulations.|: C. Private equity securities are issued primarily to institutional investors in private placements.  Explanation: Private equity securities are indeed issued primarily to institutional investors in private placements, meaning they are not publicly traded on secondary markets. Private equity investments are typically made in private companies with the objective of increasing long-term value creation. This makes option C the correct choice. Options A, B, and D are incorrect as they do not accurately describe the role and nature of private equity securities.
17|3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of individual securities. B. To represent the target market by selecting random securities. C. To act as benchmarks for actively managed portfolios. D. To ensure that all securities in the market are equally weighted.|: C. To act as benchmarks for actively managed portfolios.  Explanation: Security market indexes serve as benchmarks for actively managed portfolios, allowing investors to compare the performance of their portfolios against a specific index. By tracking the performance of an index, investors can assess the effectiveness of their investment strategies. This makes option C the correct choice. Options A, B, and D are incorrect as they do not accurately describe the purpose of security market indexes.
18|4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects only the prices of constituent securities, while total return index reflects prices and reinvestment of income. B. Price return index reflects reinvestment of income, while total return index reflects only the prices of constituent securities. C. Price return index includes dividends, while total return index does not include dividends. D. Price return index includes interest payments, while total return index does not include interest payments.|: A. Price return index reflects only the prices of constituent securities, while total return index reflects prices and reinvestment of income.  Explanation: The key difference between a price return index and a total return index is that a price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices but also the reinvestment of all income received since the inception of the index. This means that total return indexes provide a more comprehensive measure of the overall return on an investment. Option A accurately describes this difference, making it the correct choice. Options B, C, and D are incorrect as they do not accurately differentiate between the two types of indexes.
19|5. Question: What is the primary function of financial intermediaries in the financial system?  Options: A. Financial intermediaries create instruments through securitization. B. Financial intermediaries connect buyers to sellers in the market. C. Financial intermediaries provide regulatory services to ensure fair markets. D. Financial intermediaries primarily engage in proprietary trading activities.|: B. Financial intermediaries connect buyers to sellers in the market.  Explanation: The primary function of financial intermediaries in the financial system is to connect buyers to sellers in the market. These intermediaries facilitate transactions between parties who may not directly interact with each other, enhancing market liquidity and efficiency. Option B accurately describes this function, making it the correct choice. Options A, C, and D are incorrect as they do not accurately represent the primary role of financial intermediaries.
20|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on the company's net assets in the case of liquidation. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings and assets compared to common stockholders. This characteristic distinguishes preference shares from common shares, making option C the correct choice. Options A, B, and D are incorrect as they do not accurately describe the characteristics of equity securities as outlined in the reading.
21|"2. Question: What is the primary objective of private equity investing?  Options: A. To increase the ability of the company's management to focus on short-term value creation. B. To issue securities primarily to individual investors in public offerings. C. To take a ""public"" company ""private"" after certain profit benchmarks have been met. D. To increase the ability of the company's management to focus on its operating activities for long-term value creation."|: D. To increase the ability of the company's management to focus on its operating activities for long-term value creation.  Explanation: The primary objective of private equity investing is to increase the ability of the company's management to focus on its operating activities for long-term value creation. Private equity investors typically invest in companies with the goal of improving operational efficiency, strategic direction, and overall performance over an extended period. This aligns with option D, making it the correct choice. Options A, B, and C do not accurately reflect the primary objective of private equity investing as discussed in the reading.
22|3. Question: What is the role of depository receipts in the financial system?  Options: A. They are securities that represent an economic interest in a domestic company. B. They allow publicly listed shares of foreign companies to be traded only on their domestic market. C. American depository receipts are not denominated in US dollars. D. They allow publicly listed shares of foreign companies to be traded on an exchange outside their domestic market.|: D. They allow publicly listed shares of foreign companies to be traded on an exchange outside their domestic market.  Explanation: Depository receipts are securities that allow publicly listed shares of foreign companies to be traded on an exchange outside their domestic market. They provide investors with the opportunity to invest in foreign companies without the need to directly purchase shares on foreign exchanges. Option D accurately describes the role of depository receipts, making it the correct choice. Options A, B, and C do not accurately reflect the role of depository receipts in the financial system as outlined in the reading.
23|4. Question: What is the purpose of financial disclosure programs for issuers of publicly traded securities?  Options: A. To limit the information available to financial analysts. B. To ensure that information necessary to estimate security values is not available to investors. C. To provide information necessary for trading decisions to financial analysts. D. To ensure that information necessary to estimate security values is available to financial analysts on a consistent basis.|: D. To ensure that information necessary to estimate security values is available to financial analysts on a consistent basis.  Explanation: The purpose of financial disclosure programs for issuers of publicly traded securities is to ensure that information necessary to estimate security values is available to financial analysts on a consistent basis. This transparency helps investors make informed trading decisions based on accurate and up-to-date information. Option D accurately describes the purpose of financial disclosure programs, making it the correct choice. Options A, B, and C do not accurately reflect the purpose of financial disclosure programs as discussed in the reading.
24|5. Question: What is the key characteristic of liquid markets in the financial system?  Options: A. High transaction costs for traders. B. Limited availability of trading instruments. C. Difficulty in determining market value. D. Traders can trade when they want to trade at low cost.|: D. Traders can trade when they want to trade at low cost.  Explanation: The key characteristic of liquid markets in the financial system is that traders can trade when they want to trade at low cost. Liquid markets provide ample opportunities for buyers and sellers to transact without incurring high transaction costs, allowing for efficient price discovery and trading. Option D accurately describes the key characteristic of liquid markets, making it the correct choice. Options A, B, and C do not accurately reflect the key characteristic of liquid markets as outlined in the reading.
25|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings and assets compared to common stockholders. This characteristic makes preference shares less risky than common shares. On the other hand, common shares represent an ownership interest in a company and give investors a claim on its operating performance, the opportunity to participate in the corporate decision-making process, and a claim on the company’s net assets in the case of liquidation. Private equity securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets, not to individual investors in public offerings.
26|2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries allow buyers to directly connect with sellers in the market. B. Financial intermediaries create instruments through securitization and manage investment funds. C. Financial intermediaries do not play a role in connecting buyers and sellers in the market. D. Financial intermediaries only trade directly with each other and do not involve buyers and sellers.|: B. Financial intermediaries create instruments through securitization and manage investment funds.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through securitization, managing investment funds, and connecting buyers to sellers in the market. They transform cash flows and risks from one form to another, allowing buyers and sellers to connect with each other through instruments that meet their specific needs. Financial intermediaries act as brokers, dealers, and arbitrageurs, providing liquidity and facilitating transactions in the market. Therefore, option B is the correct answer as it accurately describes the role of financial intermediaries in the financial system.
27|3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of different target markets. B. To provide direct ownership of constituent securities. C. To guarantee a fixed return on investment. D. To eliminate the need for active portfolio management.|: A. To measure the values of different target markets.  Explanation: The purpose of security market indexes is to measure the values of different target markets, including security markets, market segments, or asset classes. Security market indexes are intended to represent the target market by selecting constituent securities that reflect the market's performance. These indexes serve as benchmarks for actively managed portfolios, gauge market sentiment, and act as proxies for measuring systematic risk and risk-adjusted performance. Therefore, option A is the correct answer as it accurately describes the purpose of security market indexes.
28|4. Question: What is the key characteristic of a total return index?  Options: A. Reflects only the prices of the constituent securities. B. Reflects the reinvestment of all income received since the inception of the index. C. Uses market-capitalization weighting method. D. Does not require periodic rebalancing.|: B. Reflects the reinvestment of all income received since the inception of the index.  Explanation: A total return index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index. This means that the total return index takes into account not only the price appreciation of the securities but also any dividends or interest income generated by the securities. By reinvesting all income received, the total return index provides a more comprehensive measure of the overall performance of the index. Therefore, option B is the correct answer as it accurately describes the key characteristic of a total return index.
29|5. Question: What is the impact of liquid markets on transaction costs?  Options: A. Liquid markets result in higher transaction costs. B. Liquid markets make it difficult to determine market value. C. Liquid markets lower transaction costs. D. Liquid markets increase the risk of trading.|: C. Liquid markets lower transaction costs.  Explanation: Liquid markets lower transaction costs because traders can more easily determine market value and manage their trading activities efficiently. In liquid markets, there is a higher volume of trading activity, which leads to tighter bid-ask spreads and increased market depth. This increased liquidity allows traders to buy and sell securities at competitive prices with lower transaction costs. Therefore, option C is the correct answer as it accurately describes the impact of liquid markets on transaction costs.
30|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares. On the other hand, options A, B, and D are incorrect as they do not accurately describe equity securities or their characteristics.
31|2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries create instruments through securitization and arbitrage. B. Financial intermediaries allow buyers to directly connect with sellers in the market. C. Financial intermediaries do not play a role in connecting buyers and sellers in the financial system. D. Financial intermediaries only trade instruments in primary markets.|: A. Financial intermediaries create instruments through securitization and arbitrage.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through activities such as securitization and arbitrage. These activities involve transforming cash flows and risks from one form to another, allowing buyers and sellers to connect with each other through instruments that meet their specific needs. Options B, C, and D are incorrect as they do not accurately describe the role of financial intermediaries in the financial system.
32|3. Question: What is the purpose of security market indexes?  Options: A. Security market indexes are intended to measure the values of different target markets. B. Security market indexes are used to directly invest in individual securities. C. Security market indexes do not reflect the prices of constituent securities. D. Security market indexes do not serve as benchmarks for actively managed portfolios.|: A. Security market indexes are intended to measure the values of different target markets.  Explanation: The primary purpose of security market indexes is to measure the values of different target markets, including security markets, market segments, or asset classes. These indexes are designed to represent the performance of the target market by including constituent securities that reflect its characteristics. Options B, C, and D are incorrect as they do not accurately describe the purpose of security market indexes.
33|4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects only the prices of constituent securities, while total return index reflects prices and reinvestment of income. B. Price return index reflects prices and reinvestment of income, while total return index reflects only the prices of constituent securities. C. Price return index does not include the reinvestment of income, while total return index includes reinvestment of income. D. Price return index includes reinvestment of income, while total return index does not reflect the prices of constituent securities.|: A. Price return index reflects only the prices of constituent securities, while total return index reflects prices and reinvestment of income.  Explanation: A price return index only reflects the changes in prices of the constituent securities, while a total return index not only includes price changes but also the reinvestment of all income received since the inception of the index. This distinction is important as it affects the overall return calculation of the index. Options B, C, and D are incorrect as they do not accurately describe the difference between price return and total return indexes.
34|5. Question: Why are liquid markets essential for a well-functioning financial system?  Options: A. Liquid markets increase transaction costs for traders. B. Liquid markets make it difficult for traders to determine market value. C. Liquid markets allow traders to trade when they want to at low cost. D. Liquid markets have higher transparency compared to opaque markets.|: C. Liquid markets allow traders to trade when they want to at low cost.  Explanation: Liquid markets are essential for a well-functioning financial system because they allow traders to trade when they want to at low cost. This liquidity ensures that buyers and sellers can easily connect with each other without incurring excessive transaction costs, promoting efficient capital allocation and wealth creation. Options A, B, and D are incorrect as they do not accurately describe the importance of liquid markets in a financial system.
35|1. Question: Which of the following statements is true regarding preference shares?  Options: A. Cumulative preference shares have no provisions for dividend payments. B. Non-cumulative preference shares allow for dividend payments at the company's discretion. C. Participating preference shares only receive the initial investment in the event of liquidation. D. Callable preference shares provide investors with the same rights as common share counterparts.|: B. Non-cumulative preference shares allow for dividend payments at the company's discretion.  Explanation: Non-cumulative preference shares do not have provisions for dividend payments to be accrued, meaning that the company can choose whether or not to pay dividends to these shareholders. This makes option B the correct choice. Cumulative preference shares, on the other hand, do have provisions for dividend payments to be accrued. Participating preference shares allow investors to receive the standard preferred dividend plus a share of corporate profits above a pre-specified amount. Callable preference shares give the issuer the right to buy back the shares from shareholders at a price determined when the shares are originally issued.
36|2. Question: What is the minimum rate of return that stockholders require the company to pay them for investing in its equity called?  Options: A. Accounting return on equity B. Cost of equity C. Intrinsic value D. Dividend yield|: B. Cost of equity  Explanation: The cost of equity is the minimum rate of return that stockholders require the company to pay them for investing in its equity. This is the return that compensates investors for the risk they undertake by investing in the company's equity. Options A, C, and D are not correct as they do not represent the minimum rate of return required by stockholders.
37|3. Question: What type of securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets?  Options: A. Common shares B. Preference shares C. Private equity securities D. Depository receipts|: C. Private equity securities  Explanation: Private equity securities are issued primarily to institutional investors in private placements and do not trade in secondary equity markets. This distinguishes them from common shares, preference shares, and depository receipts, making option C the correct choice.
38|4. Question: Which type of markets are essential to raising capital in primary markets because investors value the ability to sell their securities if they no longer want to hold them or if they need to disinvest to raise cash?  Options: A. Call markets B. Quote-driven markets C. Order-driven markets D. Secondary markets|: D. Secondary markets  Explanation: Secondary markets are essential to raising capital in primary markets because investors value the ability to sell their securities if they no longer want to hold them or if they need to disinvest to raise cash. This liquidity provided by secondary markets is crucial for investors, making option D the correct choice. Call markets, quote-driven markets, and order-driven markets do not serve this specific purpose.
39|5. Question: What type of index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index?  Options: A. Price return index B. Total return index C. Market-capitalization index D. Fundamental weighting index|: B. Total return index  Explanation: A total return index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index. This provides a more comprehensive view of the index's performance compared to a price return index. Therefore, option B is the correct choice. Market-capitalization and fundamental weighting indexes are different methods used to weight the constituents of an index.
40|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to common stockholders take precedence.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This statement is correct as per the information provided in the reading. Option A is incorrect as equity securities have historically offered average real annual returns superior to government bills and bonds. Option B is incorrect as common shares represent an ownership interest in a company and give investors a claim on its operating performance.
41|2. Question: What is the role of private equity securities in the financial system?  Options: A. Private equity securities are primarily issued to individual investors in public offerings. B. Private equity securities are traded in secondary equity markets. C. Private equity securities are issued primarily to institutional investors in private placements. D. Private equity securities are not subject to any regulations.|: C. Private equity securities are issued primarily to institutional investors in private placements.  Explanation: Private equity securities are issued primarily to institutional investors in private placements. These securities do not trade in secondary equity markets and are not available to individual investors through public offerings. This statement is correct as per the information provided in the reading. Option A is incorrect as private equity securities are not primarily issued to individual investors in public offerings. Option B is incorrect as private equity securities do not trade in secondary markets. Option D is incorrect as private equity securities are subject to regulations governing private placements.
42|3. Question: What is the purpose of security market indexes?  Options: A. To measure the values of individual securities. B. To represent the target market by selecting random securities. C. To act as benchmarks for actively managed portfolios. D. To ensure that all securities in the index have equal weightings.|: C. To act as benchmarks for actively managed portfolios.  Explanation: Security market indexes serve as benchmarks for actively managed portfolios. They help investors gauge market sentiment, measure systematic risk, and compare the performance of their portfolios against a relevant index. This statement is correct as per the information provided in the reading. Option A is incorrect as security market indexes measure the values of target markets, not individual securities. Option B is incorrect as security market indexes select constituent securities to represent the target market, not random securities. Option D is incorrect as security market indexes use various weighting methods, not necessarily equal weightings.
43|4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects only the prices of the constituent securities, while total return index reflects prices and dividends. B. Price return index reflects prices and dividends, while total return index reflects only the prices of the constituent securities. C. Price return index includes reinvestment of all income received, while total return index does not reinvest income. D. Price return index does not include dividends, while total return index includes dividends.|: A. Price return index reflects only the prices of the constituent securities, while total return index reflects prices and dividends.  Explanation: A price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices but also the reinvestment of all income received since the inception of the index, including dividends. This statement is correct as per the information provided in the reading. Option B is incorrect as it states the opposite relationship between price return index and total return index. Option C is incorrect as it misrepresents the inclusion of income reinvestment in the indexes. Option D is incorrect as it inaccurately describes the components of price return and total return indexes.
